Fecha;NMT;Nombre;Ld;Le;Ln;LAeq24;LAS01;LAS10;LAS50;LAS90;LAS99
ene-22;1;Paseo de Recoletos;65,1;64,5;60,8;63,9;71,5;66,5;60,1;51,5;45,8
ene-22;2;Carlos V;69,4;68,9;65,7;68,4;74,5;70;66,4;59,9;55
ene-22;3;Plaza del Carmen;61,6;60,2;63,1;62;69,5;62,7;56,4;48,9;44,8
ene-22;4;Plaza de España;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
ene-22;5;Barrio del Pilar;61,4;60,9;55,1;60;67;62,5;57,2;43;38,3
ene-22;6;Gregorio Marañón;69,6;68,9;64,6;68,3;75,9;71;64,8;55,9;49,2
ene-22;8;Escuelas Aguirre;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
ene-22;10;Cuatro Caminos;64,9;64;59,7;63,6;72;66,8;59;49,9;47,8
ene-22;11;Ramón y Cajal;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
ene-22;12;Plaza Manuel Becerra;63,2;62,8;57,5;61,9;69,7;63,6;59,3;50,5;44,7
ene-22;13;Vallecas;60,9;56,8;55,5;59,1;67,3;60,1;52,9;42,5;39,7
ene-22;14;Glorieta Fdez. Ladreda;63,4;63,4;59,3;62,4;68,8;64,1;60,2;51,8;46
ene-22;16;Arturo Soria;58;58,2;51,3;56,7;64,3;58,4;52,2;39,7;36,9
ene-22;17;Villaverde;58,5;56,9;63,8;60,9;64,8;57,9;51,5;42,1;39,1
ene-22;18;Farolillo;57,7;56,3;66,2;62,5;66,5;56,6;48,5;41,3;39,8
ene-22;19;Alto Extremadura;61;60;54,8;59,5;67,7;61,9;55,2;44,1;38,2
ene-22;20;Avda de Moratalaz;61,4;59,7;55,6;59,8;67,7;62,1;55,7;43,9;40,4
ene-22;24;Casa de Campo;48,2;46,5;44,5;47;55,1;49,7;43,9;39,4;38
ene-22;25;Santa Eugenia;68,7;68,2;64;67,5;71,3;69,7;67,5;59,3;50,9
ene-22;26;Embajada;62,1;61,5;57;60,8;68,8;64,5;57,7;50,5;44,4
ene-22;27;Barajas Pueblo;59,5;59,1;57,2;58,8;68,2;62;52,5;43,3;37,6
ene-22;28;Cuatro Vientos;67,7;65,8;60,7;66;74,4;70,1;61,2;40,1;35,6
ene-22;29;El Pardo;58,5;55,6;49,6;56,5;65,8;60,6;48,8;35;33,2
ene-22;30;Campo de las Naciones;60,7;58,4;52,4;58,8;65,9;60,9;55,8;45,4;42,5
ene-22;31;Sanchinarro;63,4;63,3;54,1;61,9;71,2;65,5;52,7;42,9;39,8
